iter, error
1, 2.50000000e+01
2, 1.25000000e+01
3, 7.81250000e+00
4, 6.25000000e+00
5, 4.68750000e+00
6, 4.02832031e+00
7, 3.49121094e+00
8, 3.05480957e+00
9, 2.69775391e+00
10, 2.40268707e+00
11, 2.15625763e+00
12, 1.94833279e+00
13, 1.82656199e+00
14, 1.71423331e+00
15, 1.61106186e+00
16, 1.51648535e+00
17, 1.42982905e+00
18, 1.35039410e+00
19, 1.27750351e+00
20, 1.21052443e+00
21, 1.14887735e+00
22, 1.09203815e+00
23, 1.03953632e+00
24, 9.90951288e-01
25, 9.56780554e-01
26, 9.24163035e-01
27, 8.93055163e-01
28, 8.63402941e-01
29, 8.35146118e-01
30, 8.08221158e-01
31, 7.82563343e-01
32, 7.58108239e-01
33, 7.34792701e-01
34, 7.12555554e-01
35, 6.91338019e-01
36, 6.71083975e-01
37, 6.51740091e-01
38, 6.33255866e-01
39, 6.15583609e-01
40, 5.98678377e-01
41, 5.85663630e-01
42, 5.73034310e-01
43, 5.60781931e-01
44, 5.48897228e-01
45, 5.37370384e-01
46, 5.26191230e-01
47, 5.15349373e-01
48, 5.04834348e-01
49, 4.94635665e-01
50, 4.84742955e-01
51, 4.75145932e-01
52, 4.65834567e-01
53, 4.56798957e-01
54, 4.48029563e-01
55, 4.39516960e-01
56, 4.31252191e-01
57, 4.23226342e-01
58, 4.15431090e-01
59, 4.07858035e-01
60, 4.00499509e-01
61, 3.94521871e-01
62, 3.88668124e-01
63, 3.82936483e-01
64, 3.77324275e-01
65, 3.71829769e-01
66, 3.66450011e-01
67, 3.61183363e-01
68, 3.56026613e-01
69, 3.50978316e-01
70, 3.46035006e-01
71, 3.41195512e-01
72, 3.36456104e-01
73, 3.31815965e-01
74, 3.27271076e-01
75, 3.22821040e-01
76, 3.18461520e-01
77, 3.14192603e-01
78, 3.10009589e-01
79, 3.05913119e-01
80, 3.01898083e-01
81, 2.97965729e-01
82, 2.94110489e-01
83, 2.90334280e-01
84, 2.86632205e-01
85, 2.83514797e-01
86, 2.80447573e-01
87, 2.77424674e-01
88, 2.74451045e-01
89, 2.71520030e-01
90, 2.68637351e-01
91, 2.65795509e-01
92, 2.63001071e-01
93, 2.60245646e-01
94, 2.57536709e-01
95, 2.54864930e-01
96, 2.52238749e-01
97, 2.49647852e-01
98, 2.47101700e-01
99, 2.44588950e-01
100, 2.42120133e-01
101, 2.39682836e-01
102, 2.37288708e-01
103, 2.34924225e-01
104, 2.32602195e-01
105, 2.30307949e-01
106, 2.28055491e-01
107, 2.25828972e-01
108, 2.23643628e-01
109, 2.21482400e-01
110, 2.19361786e-01
111, 2.17263490e-01
112, 2.15205296e-01
113, 2.13424168e-01
114, 2.11658803e-01
115, 2.09924483e-01
116, 2.08199775e-01
117, 2.06506352e-01
118, 2.04821382e-01
119, 2.03167936e-01
120, 2.01521771e-01
121, 1.99907371e-01
122, 1.98299071e-01
123, 1.96722781e-01
124, 1.95151407e-01
125, 1.93612290e-01
126, 1.92076904e-01
127, 1.90574028e-01
128, 1.89073700e-01
129, 1.87606139e-01
130, 1.86139951e-01
131, 1.84706789e-01
